,left_context,right_context,DISAGREE,value,AREA,AREA (reassessed by Kwame from Seitu feedback),Theme convereted areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,NUMBER ROW SUMMARIZED,,,,,,
15461,,,,EIN of your organization or that of your fiscal sponsor,Requested Grant Funding Related,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,702,,0.44,&&&,,,,,,,,,,,
15462,,,,"If yes, provide your #EIN",Requested Grant Funding Related,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,703,,0.44,&&&,,,,,,,,,,,
15463,,,,"MARK ""YES"" IF THE EIN ENTERED ABOVE IS FOR YOUR ORGANIZATION'S FISCAL SPONSOR. MARK ""NO"" IF THE EIN IS REGISTERED TO THE SUBMITTING ORGANIZATION",Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,704,,0.44,&&&,,,,,,,,,,,
15478,,,,Ethnicity Served,Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,711,,0.44,&&&,,,,,,,,,,,
15481,,,,RACE & ETHNICITY​ IDENTITIES,Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,713,,0.44,&&&,,,,,,,,,,,
15492,_Please enter the number of people who identify as a race/ethnicity not described in the categories above. Use the description box below to specify the race/ethnicity of those counted here._,,,"AFRICAN AMERICAN/AFRICAN/BLACK

  _Those who identify as being from or descending from the Caribbean or the African continent._

  MIDDLE EASTERN/NORTH AFRICAN

  _Those who identify as being or descending from the Arabian Peninsula, the Middle East or Northern Africa._

  ASIAN AMERICAN/ASIAN

  _Those who identify as being from or descending from East, Southeast Asia, or South Asia._

  LATINO/HISPANIC

  _Those who identify as being from or descending from Mexico, Central or South America, Cuba, Puerto Rico or other Spanish culture or origin._

  NATIVE AMERICAN/ALASKA NATIVE

  _Those who identify as indigenous peoples of the Americas and Alaska._

  NATIVE HAWAIIAN/PACIFIC ISLANDER

  _Those who identify as indigenous peoples from Hawaii OR being from or descending from any of the Pacific Islands including, for example, Guam, Samoa, Tonga and Fiji._

  EUROPEAN AMERICAN/WHITE (NOT HISPANIC OR LATINO)

  _Those who identify as being from or descending from Western and Eastern Europe._

  MULTIRACIAL/MULTIETHNIC

  _Those who identify as being from two or more racial or ethnic categories._

  UNKNOWN RACE/ETHNICITY (I.E., YOU HAVE NOT COLLECTED THE INFORMATION)

  RACE/ETHNICITY NOT DESCRIBED BY CATEGORIES ABOVE",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,719,,0.44,&&&,,,,,,,,,,,
15497,,,,List the anticipated expenses for this project,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,722,,0.44,&&&,,,,,,,,,,,
15498,,,,Please state the dollar amount requested for the Project,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,723,,0.44,&&&,,,,,,,,,,,
15503,"OTHER COSTS - CONTRACTORS, CONSULTANTS, AND/OR PARTNERS",,,"Describe the work these
    non-employees will be doing for your organization specific to your
    proposed project and include their hourly rate or fixed price they
    have agreed upon with your organization. If some or all contractors,
    consultants, and/or partners have not yet been selected or
    confirmed, please share your anticipated timeline. Expenses like
    staff and supplies paid by contractors, consultants, and/or partners
    can be listed here.","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,726,,0.44,&&&,,,,,,,,,,,
15511,1. Direct Expenses Direct expenses are costs that can be directly attributed or allocated to the project. b. Non- Personnel,,,"Itemize all non-personnel costs, including costs needed to directly support the implementation of the project (e.g., consultants, travel, and supplies). Consultant services may be detailed in the budget narrative or referenced in an attached scope of work. The budget narrative must offer a detailed breakdown of each expense.","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,730,,0.44,&&&,,,,,,,,,,,
15514,,,,"Please provide a detailed explanation for any expense category in
    which the variance was greater than 10%. This should include an
    explanation of relevant project decisions or changes to actual costs
    compared to prior assumptions","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,732,,0.44,&&&,,,,,,,,,,,
15515,,,,"Please provide a budget narrative explaining each line item in
    the budget. Include clarification of any expenses listed as “Other.”
    List the specific expenses included in your indirect cost line. If
    expenses exceed revenue, please explain",Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,733,,0.44,&&&,,,,,,,,,,,
15516,,,,"Please provide any additional necessary details not captured in the above budget. For example, if the above budget is a multi-year budget, please indicate the number of years the budget covers.

Fringe benefits included at 24% of gross salaries. Includes employer FICA, health and dental insurance for each FTE, life insurance at 0.36% of salaries, short and long-term disability insurance, 401(k) plan match at 4% of salaries, unemployment insurance, and workers compensation.","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,734,,0.44,&&&,,,,,,,,,,,
15527,Summary – Second Year (if Multi-Year) Number of Years Requested,,,You answered Yes to Multi-Year?,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,739,,0.44,&&&,,,,,,,,,,,
15535,,,,"If admission is to be charged for events, list the range of ticket prices",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,743,,0.44,&&&,,,,,,,,,,,
15536,,,,"Briefly summarise the cost of accessing the charity's
activities/services, if applicable. Specify if the amount is per
session/week","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,744,,0.44,&&&,,,,,,,,,,,
15537,Enter the amount of grant funds unused at the time of this final report.,,,"If the amount entered in the question above is greater than $0, please
provide an explanation.",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,745,,0.44,&&&,,,,,,,,,,,
15538,"Please refer to this link to find our more about our priority areas, to help you choose your Meta-Category and Area of Impact. Meta Category:",,,Please enter amount requested. Write zero (0) if unknown yet.,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,746,,0.44,&&&,,,,,,,,,,,
15539,,,,"Please confirm the number of months that your requested funding
    would cover",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,747,,0.44,&&&,,,,,,,,,,,
15540,PROJECTED INCOME,,,Indicate whether dollars are requested or committed using the dropdown list,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,748,,0.44,&&&,,,,,,,,,,,
15541,,,,"Select the number of years of funding you are requesting and enter the
amount per year in the fields provided",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,749,,0.44,&&&,,,,,,,,,,,
15542,,,,"For multiyear requests, submit one budget with line-item justification
  for each year funds are requested",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,750,,0.44,&&&,,,,,,,,,,,
15543,Requested Allocation The cumulative total of your multiyear request should be found in your answer to the 'Amount Requested' question.,,,"Please specify below your requested allocation per year (for example: $25,000 in year 1; $30,000 in year 2, etc.).",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,751,,0.44,&&&,,,,,,,,,,,
15544,PROJECT BUDGET,,,Please use our format available in single year and multi-year formats.,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,752,,0.44,&&&,,,,,,,,,,,
15545,"To complete your application, you must use the tool below to attach the following financial documents. You may only submit files as MS Excel or PDF.",,,"* for program/project, capital, or multiple types of support requests 
 detailed budget for the first year of requested funding for program/project, capital, or multiple types of support requests statement of activities (income and expenses), showing",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,753,,0.44,&&&,,,,,,,,,,,
15546,,,,"for all requests - statement of financial position (balance sheet), showing year-to-date actual assets and liabilities","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,754,,0.44,&&&,,,,,,,,,,,
15549,,,,"A list of all nongovernmental sources of income of $25,000 per year or more for your current fiscal year and any
future commitments","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,756,,0.44,&&&,,,,,,,,,,,
15552,"6. FINANCIAL SITUATION OF YOUR ORGANISATION _If your organisation has no money, put 0._ A. CURRENT YEAR (2021)",,,"List all expected income for 2021 including funders, membership fees, fundraisers. _Add lines if needed. No abbreviations or acronyms please._","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,758,,0.44,&&&,,,,,,,,,,,
15553,,,,"IN THE AREA BELOW, LIST YOUR ORGANIZATION'S TOP FIVE FUNDING SOURCES FOR THE MOST RECENTLY COMPLETED FISCAL YEAR. INCLUDE THE NAME, AMOUNT AND PERCENT OF YOUR ORGANIZATION'S OPERATING BUDGET.

#1 FUNDING SOURCE
#1 AMOUNT 
#1 PERCENT OF OPERATING BUDGET

#2 FUNDING SOURCE 
#2 AMOUNT 
#2 PERCENT OF OPERATING BUDGET

#3 FUNDING SOURCE 
#3 AMOUNT 
#3 PERCENT OF OPERATING BUDGET

#4 FUNDING SOURCE 
#4 AMOUNT 
#4 PERCENT OF OPERATING BUDGET

#5 FUNDING SOURCE 
#5 AMOUNT 
#5 Percent of operating budget","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,759,,0.44,&&&,,,,,,,,,,,
15554,SECTION ONE: PROJECTED INCOME,,,"1.  List requested and/or committed funding for this project,
        including in-kind support worth >10% of the total project budget

    2.  List the dollars amounts

    3.  Indicate whether dollars are requested or committed using the
        dropdown list.

    4.  The total income will calculate automatically.

    5.  If income sources exceed space provided, list the largest first
        and then group the smaller sources.",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,760,,0.44,&&&,,,,,,,,,,,
15557,SUPPORTING DOCUMENTS,,,"IN ADDITION TO THE DETAILS ABOVE, SUBMIT THE FOLLOWING SUPPORTING DOCUMENTS:

-   ANNUAL REPORTS FROM THE LAST TWO YEARS

-   MOST RECENTLY APPROVED STRATEGIC PLAN

-   FINANCIAL DOCUMENTS FROM THE LAST TWO YEARS (FOR EXAMPLE AUDITED FINANCIAL STATEMENT OR IRS FORM 990)

-   COPY OF IRS TAX STATUS DETERMINATION LETTER (IF APPLICABLE)

-   OTHER DOCUMENTATION REQUESTED BY YOUR PROGRAM OFFICER","organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,762,,0.44,&&&,,,,,,,,,,,
15558,,,,"In addition to the information included in the Excel budget
    template, please also list all subgrantees or subcontractors
    involved in this project in the table below",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,763,,0.44,&&&,,,,,,,,,,,
15559,,,,"In the table below, please provide information for all subgrantees
    or subcontractors receiving grant funds",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,764,,0.44,&&&,,,,,,,,,,,
15562,"In the below list, please indicate the name of the funder, the type of funder, the amount, and whether it is to apply, applied for, in hand, or pledged. Please list the top 15 funders of $10k or more. This table should include all types of funders, not just Foundations. If a multi-year commitment, list only the amount for this year, and do not include future commitments.",,,"In the below list, please indicate the name of the funder, the type of
funder, the amount, and whether it is to apply, applied for, in hand, or
pledged. 

- ORGANIZATIONAL FUNDER NAME
- AMOUNT
- STATUS
- TYPE OF FUNDER
- COMMENTS
  ---------------------------- -------- -------- ---------------- ----------","organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,766,,0.44,&&&,,,,,,,,,,,
15563,"In the table below, please provide information for all subgrantees or subcontractors receiving grant funds. The total of the column titled _Amount disbursed to subawardee in most recent reporting period_ should equal the actual subaward expenses reported for this period in the Excel budget template's “Financial Summary & Reporting” sheet.",,,"Type of Subaward (grant or contract)
Organization Name
New and/or newly identified subawardee?
Amount disbursed to subawardee in most recent reporting period (USD)
Total amount disbursed to subawardee to date* (USD)
Total amount spent by the subawardee to date* (USD)
Total subaward amount (USD)",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,767,,0.44,&&&,,,,,,,,,,,
15564,,,,"In compliance with the USA Patriot Act and other counterterrorism laws, I certify that all funds_ received from this funder will be used in compliance with all applicable anti-terrorist financing and asset control laws, statutes, and executive orders.",requested grant funding,requested grant funding,Requested Grant Funding Related,,768,,0.44,&&&,,,,,,,,,,,
15565,"MEASURING RESULTS To learn more about Measuring Results, including completed examples of the Measuring Results section, visit <REDACTED> Grant Resources webpage. For a single request, all results should reflect expectations within the funding period, typically one year. For multi-year requests, each result statement component should include each proposed year of the charitable activity. Some charitable activities may repeat the same statements each year. Others will change each year. Examples of multi-year result statements can be found on <REDACTED> Grant Resources webpage. MEASURING RESULTS AFFIRMATION",,,-   I have reviewed the Measuring Results section of <REDACTED> website referred to above.,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,769,,0.44,&&&,,,,,,,,,,,
15566,Grantmaker Review,,,"I have reviewed the website or spoken to the grantmaker to whom I am submitting this application and have reviewed their mission, funding
  interests, process, and requirements to determine if my request is a
  funding fit.",Miscellaneous,Miscellaneous,Miscellaneous,,770,,0.44,&&&,,,,,,,,,,,
15567,,,,I have read the above information,miscellaneous,miscellaneous,miscellaneous,,771,,0.44,&&&,,,,,,,,,,,
15568,DECLARATION:,,,"I declare that the information given in this application form is true
and accurate to the best of my knowledge and belief.",miscellaneous,miscellaneous,miscellaneous,,772,,0.44,&&&,,,,,,,,,,,
15569,User Profile Accuracy Please confirm your user profile is up-to-date and reflects accurate profile information.,,,"Yes, I confirm the information in the portal is accurate.",miscellaneous,miscellaneous,miscellaneous,,773,,0.44,&&&,,,,,,,,,,,
15570,ORGANIZATION INFORMATION,,,Is the above accurate?,miscellaneous,miscellaneous,miscellaneous,,774,,0.44,&&&,,,,,,,,,,,
15573,,,,"I certify my organization will avoid participating in, contributing
  to, or promoting activities contrary to_ _<REDACTED>._",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,776,,0.44,&&&,,,,,,,,,,,
15576,"Executive Director's Signature* <REDACTED> REQUIRES THE ELECTRONIC SIGNATURE OF YOUR AGENCY'S EXECUTIVE DIRECTOR._ Executive Director's Confirmation By entering your signature information above and clicking ""I Agree"" below, you certify that the information contained in this application is true and correct to the best of your knowledge.",,,"I Agree

  I Do Not Agree",miscellaneous,miscellaneous,miscellaneous,,778,,0.44,&&&,,,,,,,,,,,
15577,,,,"I acknowledge the above nondiscrimination statement and screening
policy",Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,779,,0.44,&&&,,,,,,,,,,,
15578,,,,Anti-Discrimination Statement adopted by the board of directors,Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,780,,0.44,&&&,,,,,,,,,,,
15579,,,,New and/or newly identified subawardee,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,781,,0.44,&&&,,,,,,,,,,,
15580,,,,NEW OR EXISTING CHARITABLE ACTIVITY,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,782,,0.44,&&&,,,,,,,,,,,
15581,,,,Newly Added Output/Funded Development,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,783,,0.44,&&&,,,,,,,,,,,
15582,,,,Subcontracts or Subgrants,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,784,,0.44,&&&,,,,,,,,,,,
15583,,,,Organizational/Programmatic Developments or Highlights,What the Organization Does,What the Organization Does,What the Organization Does,,785,,0.44,&&&,,,,,,,,,,,
15584,,,,Your Field or Movement,What the Organization Does,What the Organization Does,What the Organization Does,,786,,0.44,&&&,,,,,,,,,,,
15587,,,,OUTSTANDING OBLIGATIONS AND/OR CONTINGENCIES,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,788,,0.44,&&&,,,,,,,,,,,
15588,"A list of your corporate and foundation gifts corporate/foundation funders and the for the year (©this can be the calendar year or your fiscal amounts of their gifts year). Indicate if the gifts are received, committed, or pending.",,,List of committed and pending gifts,"organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,789,,0.44,&&&,,,,,,,,,,,
15592,,,,Increase in quality credentials aligned with employment,"Data handling, overview, and reporting",Organizational Biographical and General Information,Organizational Biographical and General Information,,791,,0.44,&&&,,,,,,,,,,,
15595,"- POPULATION SERVED - Please provide any additional information that helps us understand who this program serves. (_If you do not collect this information, you are under no obligation to report it here.)_",,,By Faith Affiliations,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,793,,0.44,&&&,,,,,,,,,,,
15598,,,,NAMES AND QUALIFICATIONS OF PEOPLE INVOLVED IN THE PROJECT,Requested grant funding,Organizational Biographical and General Information,Organizational Biographical and General Information,,795,,0.44,&&&,,,,,,,,,,,
15599,,,,Names and qualifications of personnel responsible for program leadership and fiscal responsibility,"organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,796,,0.44,&&&,,,,,,,,,,,
15600,,,,"Age of Organization

Startup
1-3 years
More than 3 years",Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,797,,0.44,&&&,,,,,,,,,,,
15601,,,,"Term of Grant Request

  One Year
  Two Years
  Three Years",requested grant funding,requested grant funding,Requested Grant Funding Related,,798,,0.44,&&&,,,,,,,,,,,
15605,,,,Primary Age Group to be Served,requested grant funding,requested grant funding,Requested Grant Funding Related,,800,,0.44,&&&,,,,,,,,,,,
15608,Request Request amount,,,"Estimated term of grant (in months)

Type of support requested. Please select either: 

General operating support
Program/project support",requested grant funding,requested grant funding,Requested Grant Funding Related,,802,,0.44,&&&,,,,,,,,,,,
15609,,,,"This grant request is for:

 General Operating Support",requested grant funding,requested grant funding,Requested Grant Funding Related,,803,,0.44,&&&,,,,,,,,,,,
15610,DEMOGRAPHICS,,,"Project Type: 
Region Served:
Ethnicity Served:",requested grant funding,What the Organization Does,What the Organization Does,,804,,0.44,&&&,,,,,,,,,,,
15611,,,,"Type of Funding*

Program
General Operating Funds
Educational Outreach",requested grant funding,requested grant funding,Requested Grant Funding Related,,805,,0.44,&&&,,,,,,,,,,,
15612,"4. OUTCOMES & IMPACT In this section, please share the expected outcomes that best demonstrate the difference your organization is making. We invite you to enter multiple outcomes, which you can measure via number, percentage, or narrative description. If your organization receives a grant, you will share the actual results of these target outcomes in your grant report.",,,"Type of Outcome? (select one)

- Number
- Percentage
- Narrative","data handling, overview, and reporting","data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,806,,0.44,&&&,,,,,,,,,,,
15613,,,,"STRATEGIC FOCUS AREAS OF WORK

  Family Resiliency (early childhood education & development, child welfare, family support)

  Food (food access, food security, access to foods that support healthy
  eating patterns)

  Housing (quality of housing, affordable housing, stable housing)

  Social Inclusion (civic participation, discrimination, incarceration,
  Indigenous traditional knowledge & culture)

  Mental Health (children’s mental health, maternal mental health
  (pre/post-natal), family mental health)",What the Organization Does,What the Organization Does,What the Organization Does,,807,,0.44,&&&,,,,,,,,,,,
15614,"Funders can filter proposals on JustFund by strategy, communities engaged, focus areas, and more. Use this section to further describe the specifics of your work.",,,"Strategy (select all that apply):

- Advocacy

- Art

- Base Building

- Capacity Building / Org Development

- Coalition Building

- Communications and Media

- Convening

- Culture

- Direct Action

- Education

- Healing / Restorative Justice

- Leadership Development

- Movement Building

- Organizing

- Policy

- Research

- Social Enterprise

- Voter Registration / GOTV",What the Organization Does,What the Organization Does,What the Organization Does,,808,,0.44,&&&,,,,,,,,,,,
15615,,,,"GIVING PORTFOLIO (select one)

 Creativity & Innovation (Formerly titled Arts & Culture)
 Youth Empowerment (Formerly titled Education)
 Financial Well-Being (Formerly titled Human & Social Services)",What the Organization Does,What the Organization Does,What the Organization Does,,809,,0.44,&&&,,,,,,,,,,,
15616,_OLDER ADULTS LIVING INDEPENDENTLY INDICATORS_,,,"Older Adults Living Independently Sub-focus Area

Care Coordination/Case Management Minor Home Repairs

Transportation

Oral Health Literacy",What the Organization Does,What the Organization Does,What the Organization Does,,810,,0.44,&&&,,,,,,,,,,,
15619,"2. Discuss how your organization is well-suited to lead the proposed work, reflecting on the organization's capacity and competency to deliver equitable outcomes. Targets and Deliverables",,,"Deliverable Type(s): 

Check all that apply:

 Publication/White Paper
 Evaluation Report
 Convening/Meeting
 Website
 Database
 New Technology
 Other","data handling, overview, and reporting","data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,812,,0.44,&&&,,,,,,,,,,,
15624,PRINCIPAL SOURCES OF SUPPORT,,,"% United Way:
% Government Contracts:
% Foundations/Corporations:
% Individual Contributions:
% Earned Income:","organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,815,,0.44,&&&,,,,,,,,,,,
15625,,,,"A PUBLIC AGENCY/UNIT OF GOVERNMENT OR INDIAN TRIBAL
GOVERNMENT UNDER SECTION 7871 OF THE INTERNAL REVENUE CODE",biographical and Organizational info,biographical and Organizational info,Organizational Biographical and General Information,,816,,0.44,&&&,,,,,,,,,,,
15626,ORGANIZATION ADDRESS,,,"Street Address:

City:

State / US Territory / Other:

Zip Code:",Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,817,,0.44,&&&,,,,,,,,,,,
15627,,,,"Correspondence address (building name/number, street, etc.)",Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,818,,0.44,&&&,,,,,,,,,,,
15628,General Information:,,,"Tax ID
  Organization Legal Name
  Mailing Address

  If your primary address is a PO Box, please provide a street address
  for delivery purposes.

  Office Phone Number
  Website",Organizational Biographical and General Information,Organizational Biographical and General Information,Organizational Biographical and General Information,,819,,0.44,&&&,,,,,,,,,,,
15629,,,,"If you provided in‐person, onsite services at a location(s) other
    than your mailing address in the last year, please list the
    addresses (street, city, state, zip). Separate multiple addresses
    with commas",Organizational Biographical and General Information,Organizational Biographical and General Information,Organizational Biographical and General Information,,820,,0.44,&&&,,,,,,,,,,,
15630,,,X,Please provide your address where you receive mail,Organizational Biographical and General Information,Organizational Biographical and General Information,Organizational Biographical and General Information,,821,,0.44,&&&,,,,,,,,,,,
15634,,,,"for each major budget
category using the outline below and complete the budget form. The line-item categories on
the form are examples. Create your own line-item categories as appropriate","organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,823,,0.44,&&&,,,,,,,,,,,
15635,,,,LINE-ITEM BUDGET FORM,"organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,824,,0.44,&&&,,,,,,,,,,,
15639,BACKGROUND,Please indicate where your organization provides program services.,,"PROGRAM NAME: 
    CAUSE:                                         
    TYPE: 
    LOCATION OF SERVICES:","organizational budgeting, revenue practices, and forecasts",What the Organization Does,What the Organization Does,,826,,0.44,&&&,,,,,,,,,,,
15640,YOUR ORGANIZATION,,,"ORGANIZATION NAME         
  ------------------------- --
  WEBSITE (IF APPLICABLE)   
  FIRST NAME                
  LAST NAME                 
  TITLE                     
  EMAIL                     
  PHONE",Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,827,,0.44,&&&,,,,,,,,,,,
15643,Outcome: Increased Collaboration for Social Change (Coalition-Building),,,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

2a. Increased Development of Coalitions for Collaborative Action among Social Change Groups 

2b. Increased [depth of] Collaboration among Coalition/Collaborative Members

2c. Increased Coordinated Action Among Coalition Members in Advancing their Shared Agenda",requested grant funding,What the Organization Does,What the Organization Does,,829,,0.44,&&&,,,,,,,,,,,
15644,Outcome: Increased Awareness and Advocacy for Social Change,,,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

  1a. Increased Public Awareness of Issues Impacting Constituents

  1b. Increased Awareness and Engagement with Key Systems Leaders and Policymakers 

1c. Increased Awareness and/or Skills in Supporting the Well-being of Constituents

1d. Increased Empowerment among Community Constituents

1e. Increased/Sustained Involvement of Agency Staff and Volunteers in Legislative/Policy Advocacy 

1f. Increased Skills and Confidence in Advocacy among Agency Staff and Volunteers",requested grant funding,requested grant funding,Requested Grant Funding Related,,830,,0.44,&&&,,,,,,,,,,,
15655,,,,Any relevant independent evaluations,"data handling, overview, and reporting","data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,836,,0.44,&&&,,,,,,,,,,,
15656,,,,Peer Review Summary (if available),"data handling, overview, and reporting","data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,837,,0.44,&&&,,,,,,,,,,,
15657,ARTIST SELECTION PROCESS HOW ARE ARTISTS SELECTED FOR THIS PROGRAM(S)?,,,IF VIA AN OPEN CALL,How did you hear of us,How did you hear of us,How did you hear of us,,838,,0.44,&&&,,,,,,,,,,,
15658,,,,IF BY NOMINATIONS OR CURATORIAL PROCESS,How did you hear of us,How did you hear of us,How did you hear of us,,839,,0.44,&&&,,,,,,,,,,,
15661,,,,Locations of Additional Branches (if Applicable),Organizational Biographical and General Information,Organizational Biographical and General Information,Organizational Biographical and General Information,,841,,0.44,&&&,,,,,,,,,,,
15662,,,,CALL FOR SUBMISSIONS/ARTIST GUIDELINES (IF AVAILABLE),How did you hear of us,How did you hear of us,How did you hear of us,,842,,0.44,&&&,,,,,,,,,,,
15684,,,,Grant Contact Name (if different than CEO),Requested grant funding,Organizational Biographical and General Information,Organizational Biographical and General Information,,850,,0.44,&&&,,,,,,,,,,,
15688,,,,"Provide any additional information not already captured regarding the primary population to be served by the
proposed grant",miscellaneous,miscellaneous,miscellaneous,,852,,0.44,&&&,,,,,,,,,,,
15689,,,,please use this space to provide more information on the population and community you serve,Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,853,,0.44,&&&,,,,,,,,,,,
15695,INTRODUCTION,"_Character limits include spaces, letters, numbers, punctuation, and visible and hidden HTML._",,"We encourage you to be brief and succinct in all of the answers. If we
require more detailed information, we will absolutely reach out.",miscellaneous,miscellaneous,miscellaneous,,856,,0.44,&&&,,,,,,,,,,,
15696,,,,Please help us better understand the diversity of your organization by providing data for all that apply,biographical and Organizational info,biographical and Organizational info,Organizational Biographical and General Information,,857,,0.44,&&&,,,,,,,,,,,
15697,"When possible, identify the target audience or the specific community being served (if applicable). The examples below provide guidance on types of objective statements. Some may be relevant to your grant request. You may also create your own statements. - POPULATION SERVED","If you do not collect this information, you are under no obligation to report it here.",,Please provide any additional information that helps us understand who this program serves.,Requested grant funding,Miscellaneous,Miscellaneous,,858,,0.44,&&&,,,,,,,,,,,
15698,,,,"To help us understand the impact of our commitment to the <REDACTED>
Funder scheme, please select which of the below applies to your
organisation",What the Organization Does,What the Organization Does,What the Organization Does,,859,,0.44,&&&,,,,,,,,,,,
15706,,,,please feel free to include ONE additional attachment of your choice if you feel it will be helpful in the evaluation of your application,miscellaneous,miscellaneous,miscellaneous,,863,,0.44,&&&,,,,,,,,,,,
15707,,,,"Please include any other policies you think are relevant to
    your application",miscellaneous,miscellaneous,miscellaneous,,864,,0.44,&&&,,,,,,,,,,,
