,left_context,right_context,value,Area,Theme Converted Areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,,
15648,Indicators for Outcome 2: Improved Quality of Life for Veterans and their Families,,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

  2a: Greater Access to Appropriate Mental Health and Support Services (incl. Alternative/Wholistic) 

2b: Improved Psychological/Mental Health (includes Stress Management and Coping Skills)

2c: Increased/sustained participation in social/emotional support opportunities

2d: Clients Report Improvements in Overall Well-being",What you do,What the Organization Does,,832,,0.44,&&&,,,,,,
15649,Indicators for Outcome 1: Increased Stability for Veterans,,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

1a: Increased Access to Needed Community Resources (including legal
  assistance)

1b: Increased Stability Related to Basic Needs (food/nutrition, shelter/housing and transportation) 

1c: Improved Levels of Functioning (Life Skills, Education, and Employment)",What you do,What the Organization Does,,833,,0.44,&&&,,,,,,
15650,Indicators for Outcome 1: Increased Stability for Immigrants/Refugees,,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

1a: Increased Access to Needed Community Resources (including Legal Assistance)

1b: Increased Stability Related to Basic Needs (Food/Nutrition, Shelter/Housing and Transportation)

1c: Improved Levels of Functioning (Life Skills, English Language Skills)

1d: Improved Employment Situations",What you do,What the Organization Does,,833,,0.44,&&&,,,,,,
15651,"_OLDER ADULTS LIVING INDEPENDENTLY INDICATORS_ IMPORTANT: <REDACTED> requires all grantee organizations to measure impact using our standardized outcomes. The next questions will ask you to choose one indicator for each outcome that you will be measuring during the grant period. For our explanations of each indicator, suggested measurement tools, and further information regarding our evaluation framework, please see the <REDACTED> User's Guide for Evaluation._",,"Older Adults-Indicators for Outcome 1: Increased Stability*

You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

1a: Increased Access to Needed Community Resources

1b: Increased Stability Related to Basic Needs (food/nutrition, shelter/housing and transportation)

1c: Improved/Maintained Levels of Functioning (physical/cognitive)

1d: Improved/Increased Support for Caregivers",What you do,What the Organization Does,,834,,0.44,&&&,,,,,,
15652,Older Adults-Indicators for Outcome 1: Increased Stability,,"Older Adults-Indicators for Outcome 1: Increased Stability

You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

1a: Increased Access to Needed Community Resources

1b: Increased Stability Related to Basic Needs (food/nutrition, shelter/housing and transportation)

1c: Improved/Maintained Levels of Functioning (physical/cognitive)

1d: Improved/Increased Support for Caregivers",What you do,What the Organization Does,,834,,0.44,&&&,,,,,,
15653,,,"ACCOMPANYING ONE-PAGE NARRATIVE WELCOME IF ADDITIONAL EXPLANATION IS
WARRANTED",Catch all/Anything else,Miscellaneous,,835,,0.44,&&&,,,,,,
15654,,,"ACCOMPANYING ONE-PAGE NARRATIVE WELCOME IF ADDITIONAL
EXPLANATION IS WARRANTED",Catch all/Anything else,Miscellaneous,,835,,0.44,&&&,,,,,,
15659,,,Secondary Contact (if Applicable),Biographical and Organizational info,Organizational Biographical and General Information,,840,,0.44,&&&,,,,,,
15660,,,"Other Contact, if appropriate",Biographical and Organizational info,Organizational Biographical and General Information,,840,,0.44,&&&,,,,,,
15663,,,Short name (if applicable),Biographical and Organizational info,Organizational Biographical and General Information,,843,,0.44,&&&,,,,,,
15664,,,Short name (if applicable,Biographical and Organizational info,Organizational Biographical and General Information,,843,,0.44,&&&,,,,,,
15665,,,Project Title (if applicable),Biographical and Organizational info,Organizational Biographical and General Information,,843,,0.44,&&&,,,,,,
15666,,,Website [if available],Biographical and Organizational info,Organizational Biographical and General Information,,844,,0.44,&&&,,,,,,
15667,,,Web Page URL (if applicable),Biographical and Organizational info,Organizational Biographical and General Information,,844,,0.44,&&&,,,,,,
15668,,,WEBSITE (IF APPLICABLE,Biographical and Organizational info,Organizational Biographical and General Information,,844,,0.44,&&&,,,,,,
15669,,,WEBSITE (if applicable),Biographical and Organizational info,Organizational Biographical and General Information,,844,,0.44,&&&,,,,,,
15670,,,Website (if applicable),Biographical and Organizational info,Organizational Biographical and General Information,,844,,0.44,&&&,,,,,,
15671,,,TAX STATUS (if known and applicable),Requested grant funding,Requested Grant Funding Related,,845,,0.44,&&&,,,,,,
15672,,,Tax Status (if known and applicable),Requested grant funding,Requested Grant Funding Related,,845,,0.44,&&&,,,,,,
15673,,,"If applicable, expenses covered in kind","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,846,,0.44,&&&,,,,,,
15674,,,"If applicable, expenses covered by other sources","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,846,,0.44,&&&,,,,,,
15675,,,FISCAL SPONSOR’S FEE (IF APPLICABLE),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,847,,0.44,&&&,,,,,,
15676,,,Fiscal Agent[3] (if applicable),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,847,,0.44,&&&,,,,,,
15677,,,IN-KIND DONATIONS (if applicable),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,847,,0.44,&&&,,,,,,
15678,,,Fiscal sponsor's name (if applicable),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,847,,0.44,&&&,,,,,,
15679,,,Fiscal Sponsorship Information (if applicable),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,847,,0.44,&&&,,,,,,
15680,,,Value of Scholarship Endowment (if any),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,848,,0.44,&&&,,,,,,
15681,,,Value of Additional Endowed Funds (if any),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,848,,0.44,&&&,,,,,,
15682,,,Number of People Served by Grant (If different from above.),Demographic/Orientation/Status,Project Demographics/Orientation/Status,,849,,0.44,&&&,,,,,,
15683,,,Number of People Served by Grant (If different from above.,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,849,,0.44,&&&,,,,,,
15685,,,Street Address (if different from above),Biographical and Organizational info,Organizational Biographical and General Information,,851,,0.44,&&&,,,,,,
15686,,,Address (if different from above),Biographical and Organizational info,Organizational Biographical and General Information,,851,,0.44,&&&,,,,,,
15687,ORGANISATION DETAILS,,Direct Line (if different from above),Biographical and Organizational info,Organizational Biographical and General Information,,851,,0.44,&&&,,,,,,
15690,FINANCIAL DUE DILIGENCE,,"Use this space to provide any additional context, narrative, and
explanation about the organization's financial information related to
the questions above.","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,854,,0.44,&&&,,,,,,
15691,,,"Use this space to provide any additional context, narrative, and
explanation about the organization's financial information","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,854,,0.44,&&&,,,,,,
15692,,,"Use this space to provide any additional context, narrative, and
explanation about the organization's financial information related to
the questions above","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,854,,0.44,&&&,,,,,,
15693,"Outputs/Funded Developments and Background Technology Update - Update the table below to reflect completed and/or adjusted outputs, and new outputs/Funded Developments not previously reported. See your original results table in Section A of your proposal for reference.",,"If necessary, please add further explanation below.",What You Do,What the Organization Does,,855,,0.44,&&&,,,,,,
15694,Population Served (if applicable),,"If explanation is necessary, please use the space provided:",What You Do,What the Organization Does,,855,,0.44,&&&,,,,,,
15699,Request Category Choose one: Educational Success RFP Environmental Beautification RFP Inclusive Communities RFP Medical Research RFP Safety Net RFP Vibrant Arts & Culture RFP Other,,"If other, please explain",Requested grant funding,Requested Grant Funding Related,,860,,0.44,&&&,,,,,,
15700,TARGET POPULATIONS SERVED Please indicate up to three (3) target populations your organization/institution serves:,,Other: (please explain),Partnership and Community,Collaborative Partnerships and Community Support,,860,,0.44,&&&,,,,,,
15701,COMMUNITIES SERVED: Please describe which geographical areas will be most impacted by your initiative (state(s) / U.S. territory(-ies) / national / other)? [dropdown menu],,"a.  IF OTHER, PLEASE EXPLAIN",Partnership and Community,Collaborative Partnerships and Community Support,,860,,0.44,&&&,,,,,,
15702,"If you are not a Maryland-based organization, do you have authorization from the state in which you are incorporated or registered as a non-profit organization/public charity/etc., to solicit for and accept donations from Maryland residents and/or organizations? Yes No",,"If you selected ""No"" above, please explain:",What You Do,What the Organization Does,,861,,0.44,&&&,,,,,,
15703,"Other Referred by a <REDACTED> Foundation board member or staff person Referred by another foundation or funder Referred by another non-profit organization If you were referred by another organization or individual, please list the name of the organization or individual below.",,"If you selected Other, please explain.",Biographical and Organizational info,Organizational Biographical and General Information,,861,,0.44,&&&,,,,,,
15704,,,"If you selected Other, please indicate your Organization Type here",What You Do,What the Organization Does,,862,,0.44,&&&,,,,,,
15705,,,"If you have selected “Other” above, please describe in this field",Catch all/Anything else,Miscellaneous,,862,,0.44,&&&,,,,,,
15710,YOUR APPLICATION:,_NB: Please only choose sub-categories that are related to the programme area you selected above. You may select up to three sub-categories._,Based on your selection above please select which sub-categories best fit your proposal.,What You Do,What the Organization Does,,867,,0.44,&&&,,,,,,
15711,Please complete a two A4 page proposal using the following headings:,,How your proposal fits the criteria for the relevant category you are applying under.,What You Do,What the Organization Does,,867,,0.44,&&&,,,,,,
15712,Please complete a two A4 page proposal using the following headings:,,How your proposal fits the criteria for the relevant category you are applying under.,What You Do,What the Organization Does,,867,,0.44,&&&,,,,,,
15722,,,"Provide any external reports that support your proposal in the upload
fields below",What You Do,What the Organization Does,,877,,0.44,&&&,,,,,,
15723,,,"Provide any external reports that support your proposal in the upload
fields below. (If you have more than two documents, consolidate them
into two documents",What You Do,What the Organization Does,,877,,0.44,&&&,,,,,,
15724,,,"Please upload any relevant documentation to the
proposal here. PDF format preferred",What You Do,What the Organization Does,,878,,0.44,&&&,,,,,,
15725,,,"Please upload any relevant documentation to the
proposal here",What You Do,What the Organization Does,,878,,0.44,&&&,,,,,,
15729,CONFLICT OF INTERESTS,,"Are there relationships, conflicts of interest or any additional information <REDACTED> should be aware of?",What You Do,What the Organization Does,,882,,0.44,&&&,,,,,,
15730,Compliance Questions Conflict of Interests,,"Are there relationships, conflicts of interest or any additional information <REDACTED> should be aware of?",What You Do,What the Organization Does,,882,,0.44,&&&,,,,,,
15732,,,"Beyond financial, are there other resources you would like to see
    the <REDACTED> Foundation provide in support of the partnership",Helpful alternative support rather than money,Alternative Supports,,884,,0.44,&&&,,,,,,
15733,Capacity Building,,"Are there any additional resources, partnerships, or skill sets you need to support this work?",Helpful alternative support rather than money,Alternative Supports,,884,,0.44,&&&,,,,,,
15740,,,"May we have your permission to share this information with other Donor
  Advised Funds held at <REDACTED>",Catch all/Anything else,Miscellaneous,,891,,0.44,&&&,,,,,,
15741,,,May we have your permission to share this information with other Donor Advised Funds held at <REDACTED>,Catch all/Anything else,Miscellaneous,,891,,0.44,&&&,,,,,,
15742,Optional Question,,"Is there any other information not captured elsewhere regarding your organization, initiative, community served, or anything else that you believe will help in our evaluation of your request?",What You Do,What the Organization Does,,892,,0.44,&&&,,,,,,
15743,,,"IS THERE ANY OTHER INFORMATION NOT CAPTURED ELSEWHERE REGARDING YOUR ORGANIZATION, PROJECT, PROGRAM, OR COMMUNITY SERVED THAT YOU BELIEVE WILL HELP <REDACTED> STAFF IN THEIR EVALUATION OF YOUR REQUEST",What You Do,What the Organization Does,,892,,0.44,&&&,,,,,,
15744,,,"Is there any other information not captured elsewhere regarding your organization,
program, or project that you believe will help <REDACTED> Foundation staff understand this
proposal",What You Do,What the Organization Does,,892,,0.44,&&&,,,,,,
15745,,,"Optional Question: Is there any other information not captured
    elsewhere regarding your organization, initiative, community served,
    or anything else that you believe will help in our evaluation of
    your request",What You Do,What the Organization Does,,892,,0.44,&&&,,,,,,
15747,,,"What additional information about your organization's diversity and inclusion practices would
you like to share",Biographical and Organizational info,Organizational Biographical and General Information,,894,,0.44,&&&,,,,,,
15748,,,"What additional information about your organization’s diversity and
    inclusion practices would you like to share",Biographical and Organizational info,Organizational Biographical and General Information,,894,,0.44,&&&,,,,,,
15749,,,Is there additional information about the diversity of your organization that you would like to share? Please select yes or no.,Biographical and Organizational info,Organizational Biographical and General Information,,895,,0.44,&&&,,,,,,
15750,,,Is there additional information about the diversity of your organization that you would like to share? Please select,Biographical and Organizational info,Organizational Biographical and General Information,,895,,0.44,&&&,,,,,,
15753,,,"Any additional organizational plans or services you would like to
  share",What You Do,What the Organization Does,,898,,0.44,&&&,,,,,,
15754,,,Any additional organizational plans or services you would like to share,What You Do,What the Organization Does,,898,,0.44,&&&,,,,,,
15755,,,"WHAT ELSE WOULD YOU LIKE US TO KNOW THAT WAS NOT ADDRESSED IN THE OTHER
QUESTIONS? [NOT REQUIRED]",What You Do,What the Organization Does,,899,,0.44,&&&,,,,,,
15756,,,"WHAT ELSE WOULD YOU LIKE US TO KNOW THAT WAS NOT ADDRESSED IN THE OTHER
QUESTIONS",What You Do,What the Organization Does,,899,,0.44,&&&,,,,,,
15757,,,Is there anything else you would like us to know as we consider this request,What You Do,What the Organization Does,,900,,0.44,&&&,,,,,,
15758,,,"Is there any other information we might need to better understand your request and/or the unique
needs of the community that this request will serve",What You Do,What the Organization Does,,900,,0.44,&&&,,,,,,
15776,Description of Service,,"Please select the <REDACTED> Officer you have been working  with on this proposal. If you have not been in contact with a <REDACTED> Officer, please select ""Not Applicable""",Requested grant funding,Requested Grant Funding Related,,918,,0.44,&&&,,,,,,
15777,,,"Please select the <REDACTED> Officer you have been working
  with on this proposal",Requested grant funding,Requested Grant Funding Related,,918,,0.44,&&&,,,,,,
15778,,,"CITY OF <REDACTED>: SELECT UP TO 5 _PRIMARY_ GEOGRAPHIC REGIONS THAT ARE
  THE FOCUS OF YOUR PROPOSED PROJECT ACTIVITIES",Partnership and Community,Collaborative Partnerships and Community Support,,919,,0.44,&&&,,,,,,
15779,,,"<REDACTED> COUNTY: Select up to 5 townships that are the _PRIMARY_ focus of
  your proposed project activities",Partnership and Community,Collaborative Partnerships and Community Support,,919,,0.44,&&&,,,,,,
15786,,,Select which of the following best describes the primary geographic area to be served by your grant request,Partnership and Community,Collaborative Partnerships and Community Support,,926,,0.44,&&&,,,,,,
15787,,,PLEASE SELECT THE RESPONSE THAT BEST DESCRIBES THE SERVICE AREA FOR THIS GRANT,Partnership and Community,Collaborative Partnerships and Community Support,,926,,0.44,&&&,,,,,,
15794,,,"City, State/Department and Country Where Work Takes Place",Partnership and Community,Collaborative Partnerships and Community Support,,933,,0.44,&&&,,,,,,
15795,,,"City, State and Country Where Project Takes Place",Partnership and Community,Collaborative Partnerships and Community Support,,933,,0.44,&&&,,,,,,
15797,,,"COMMUNITIES SERVED: Please describe which geographical areas will be
    most impacted by your initiative",Partnership and Community,Collaborative Partnerships and Community Support,,935,,0.44,&&&,,,,,,
15798,,,"COMMUNITIES SERVED: Please describe which geographical areas will be
    most impacted by your initiative (state(s) / U.S. territory(-ies) /
    national / other)",Partnership and Community,Collaborative Partnerships and Community Support,,935,,0.44,&&&,,,,,,
15805,,,Where are you primarily located? Is your work local or does it extend nationally/globally,What You Do,What the Organization Does,,942,,0.44,&&&,,,,,,
15806,,,"Does your organisation mostly work at local, national, or international level",What You Do,What the Organization Does,,942,,0.44,&&&,,,,,,
15807,,,What geographic locations benefit/will benefit from your work,Partnership and Community,Collaborative Partnerships and Community Support,,943,,0.44,&&&,,,,,,
15808,,,"Please describe your context (local, national, regional) as relevant to your work",What You Do,What the Organization Does,,943,,0.44,&&&,,,,,,
15811,,,"Where will the work take place, and where will it have the most impact (geographic locations)",Partnership and Community,Collaborative Partnerships and Community Support,,946,,0.44,&&&,,,,,,
15812,,,In what region(s) will your proposed work have an impact,Partnership and Community,Collaborative Partnerships and Community Support,,946,,0.44,&&&,,,,,,
15814,,,Where will this work take place,Partnership and Community,Collaborative Partnerships and Community Support,,948,,0.44,&&&,,,,,,
15815,,,WHERE WILL THE PROPOSED WORK TAKE PLACE?a,Partnership and Community,Collaborative Partnerships and Community Support,,948,,0.44,&&&,,,,,,
15816,,,Where will the work take place? Please select up to 8.,Partnership and Community,Collaborative Partnerships and Community Support,,948,,0.44,&&&,,,,,,
15818,,,"Region in England where the work of this application will be carried out
(if chosen England above)",Partnership and Community,Collaborative Partnerships and Community Support,,950,,0.44,&&&,,,,,,
15819,,,"Region in England where the organisation does most of its work (if
chosen England above)",Partnership and Community,Collaborative Partnerships and Community Support,,950,,0.44,&&&,,,,,,
15820,,,Select the geographic area served by this project or program,What You Do,What the Organization Does,,951,,0.44,&&&,,,,,,
15821,,,BROAD GEOGRAPHIC AREA SERVED BY THE PROPOSED PROJECT,What You Do,What the Organization Does,,951,,0.44,&&&,,,,,,
15822,,,Geographic Areas served by this project,What You Do,What the Organization Does,,951,,0.44,&&&,,,,,,
15823,,,GEOGRAPHIC AREA SERVED BY THIS REQUEST,What You Do,What the Organization Does,,952,,0.44,&&&,,,,,,
15824,,,Geographic area(s) to be served by project requesting funding,What You Do,What the Organization Does,,952,,0.44,&&&,,,,,,
15825,,,GEOGRAPHIC AREA(S) OF FOCUS FOR GRANT REQUEST,What You Do,What the Organization Does,,952,,0.44,&&&,,,,,,
15826,,,Geographic Area of Request,What You Do,What the Organization Does,,952,,0.44,&&&,,,,,,
15827,,,Grant Geographic Service Area,What You Do,What the Organization Does,,953,,0.44,&&&,,,,,,
15828,,,Grant geographic service area,What You Do,What the Organization Does,,953,,0.44,&&&,,,,,,
15829,,,Primary Geographic Area,What You Do,What the Organization Does,,954,,0.44,&&&,,,,,,
15830,,,Secondary Geographic Area,What You Do,What the Organization Does,,954,,0.44,&&&,,,,,,
15831,,,Geographic Area,What You Do,What the Organization Does,,954,,0.44,&&&,,,,,,
15832,,"Select the geographic area(s) that best represent your request by clicking on the related location(s). _ONCE HIGHLIGHTED, IT IS SELECTED._ To select additional areas, hold down the Ctrl key and click on your next selection. Use the scroll bar to ensure that all desired areas are highlighted.",_GEOGRAPHIC FOCUS_,What You Do,What the Organization Does,,954,,0.44,&&&,,,,,,
15834,,,GEOGRAPHIC AREA (S) SERVED,What You Do,What the Organization Does,,956,,0.44,&&&,,,,,,
15835,,,Geographic Area Served,What You Do,What the Organization Does,,956,,0.44,&&&,,,,,,
15836,,,GEOGRAPHIC AREAS SERVED,What You Do,What the Organization Does,,956,,0.44,&&&,,,,,,
15837,,,GEOGRAPHIC LOCATION SERVED,What You Do,What the Organization Does,,956,,0.44,&&&,,,,,,
15838,,,BROAD GEOGRAPHIC AREA SERVED,What You Do,What the Organization Does,,956,,0.44,&&&,,,,,,
15839,,,Geography Served,What You Do,What the Organization Does,,956,,0.44,&&&,,,,,,
15840,,,GEOGRAPHICAL AREA SERVED,What You Do,What the Organization Does,,956,,0.44,&&&,,,,,,
15841,,,Region Served,What You Do,What the Organization Does,,957,,0.44,&&&,,,,,,
15842,,,Region,What You Do,What the Organization Does,,957,,0.44,&&&,,,,,,
15843,,,PROJECT REGION(S),What You Do,What the Organization Does,,958,,0.44,&&&,,,,,,
15844,,,Project Region(s),What You Do,What the Organization Does,,958,,0.44,&&&,,,,,,
15845,,,Metro Areas Engaged,What You Do,What the Organization Does,,959,,0.44,&&&,,,,,,
15846,,,Regions Engaged,What You Do,What the Organization Does,,959,,0.44,&&&,,,,,,
15847,,,Primary impact area,What You Do,What the Organization Does,,960,,0.44,&&&,,,,,,
15848,,,PRIORITY AREA,What You Do,What the Organization Does,,960,,0.44,&&&,,,,,,
15849,,,FOCUS AREAS,What You Do,What the Organization Does,,961,,0.44,&&&,,,,,,
15850,,,FOCUS AREA,What You Do,What the Organization Does,,961,,0.44,&&&,,,,,,
15851,,,Interest Area,What You Do,What the Organization Does,,961,,0.44,&&&,,,,,,
15852,,,AREA OF FOCUS,What You Do,What the Organization Does,,961,,0.44,&&&,,,,,,
15854,,,FOCUS AREA OUTCOME(S),What You Do,What the Organization Does,,963,,0.44,&&&,,,,,,
15855,,,Focus Area / Outcomes / Indicators,What You Do,What the Organization Does,,963,,0.44,&&&,,,,,,
15859,,,Output/Funded Development Description,What You Do,What the Organization Does,,967,,0.44,&&&,,,,,,
15860,,,Development Description,What You Do,What the Organization Does,,967,,0.44,&&&,,,,,,
15861,"_If the gender is not described by the categories above, please specify the appropriate gender in this box._",,GENDER DESCRIPTION,Biographical and Organizational info,Organizational Biographical and General Information,,968,,0.44,&&&,,,,,,
15862,GRANT REQUEST,"Please outline what you would like us to fund, what activities are planned, when and where they will take place, why it is important, what you aim to achieve and, if applicable, what you have learnt from doing this work in the past. If applying for Core funding, please tell us about your strategy and how you hope a grant will support your organisation as a whole.",Description,Requested grant funding,Requested Grant Funding Related,,968,,0.44,&&&,,,,,,
15863,,,Program/Project Description,What You Do,What the Organization Does,,968,,0.44,&&&,,,,,,
15866,,,POPULATION DESCRIPTION,Partnership and Community,Collaborative Partnerships and Community Support,,971,,0.44,&&&,,,,,,
15867,,,Staff Diversity Description,Biographical and Organizational info,Organizational Biographical and General Information,,971,,0.44,&&&,,,,,,
15868,Attachments 1. Most recent audited financial statement or financial review (if available}.,,Attachment Description (Optional),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,972,,0.44,&&&,,,,,,
15869,1. Most recent audited financial statement or financial review (if available}.,,Attachement Description,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,972,,0.44,&&&,,,,,,
15870,,,Project/program name,What You Do,What the Organization Does,,973,,0.44,&&&,,,,,,
15871,,,Title of Project/Program,What You Do,What the Organization Does,,973,,0.44,&&&,,,,,,
15872,,,Please describe the project/program,What You Do,What the Organization Does,,974,,0.44,&&&,,,,,,
15873,,"With the funding you are requesting from <REDACTED>, describe the specific actions or strategies you intend to carry out that will help address mental health and/or substance misuse in the City and County <REDACTED>. Please refer to the current Call for Proposals available on <REDACTED>.org for more information about the current focus area. Your answer should be focused on describing your project/program’s intended activities and how you will use the requested funds rather than describing the need for the project/program. Please be clear about how your actions or strategies will address mental health and/or substance misuse.",PROJECT/PROGRAM DESCRIPTION –,What You Do,What the Organization Does,,974,,0.44,&&&,,,,,,
15875,,,Project/Program Budget,What You Do,What the Organization Does,,976,,0.44,&&&,,,,,,
15876,,,Total project/program budget,What You Do,What the Organization Does,,976,,0.44,&&&,,,,,,
15877,,,PROJECT/PROGRAM REQUEST BUDGET,What You Do,What the Organization Does,,976,,0.44,&&&,,,,,,
15882,,,Proposal Description,What You Do,What the Organization Does,,981,,0.44,&&&,,,,,,
15883,,,Proposal Summary,What You Do,What the Organization Does,,981,,0.44,&&&,,,,,,
15884,,,Proposal Details,What You Do,What the Organization Does,,981,,0.44,&&&,,,,,,
15885,,,BRIEF PROPOSAL DESCRIPTION,What You Do,What the Organization Does,,981,,0.44,&&&,,,,,,
15886,,,PROPOSAL PLAN - PHOTOS,What You Do,What the Organization Does,,982,,0.44,&&&,,,,,,
15887,,,Proposal Plan,What You Do,What the Organization Does,,982,,0.44,&&&,,,,,,
15888,,"We understand you fill out many applications; we have tried to make ours easier where we can. Please upload a proposal you have recently completed that most accurately represents your organization's mission and programs. Please make sure to include your organization's operating budget. NOTE: This proposal can be from a grant request submitted to any organization (does not have to be one submitted to the <REDACTED> Foundation), and you can upload more than one file if needed.",UPLOAD PROPOSAL,What You Do,What the Organization Does,,982,,0.44,&&&,,,,,,
15889,,,PROPOSAL CONTACT,What You Do,What the Organization Does,,983,,0.44,&&&,,,,,,
15890,,,Proposal Scope,What You Do,What the Organization Does,,983,,0.44,&&&,,,,,,
15891,,,Proposal Name,What You Do,What the Organization Does,,984,,0.44,&&&,,,,,,
15892,,,PROPOSAL TITLE,What You Do,What the Organization Does,,984,,0.44,&&&,,,,,,
15893,,,Proposal Submitted By (name),What You Do,What the Organization Does,,984,,0.44,&&&,,,,,,
15894,,,PROPOSAL NARRATIVE,What You Do,What the Organization Does,,985,,0.44,&&&,,,,,,
15895,,,Proposal Narrative,What You Do,What the Organization Does,,985,,0.44,&&&,,,,,,
15896,,,Project Proposal Narrative,What You Do,What the Organization Does,,985,,0.44,&&&,,,,,,
15897,,,Full Proposal Narrative,What You Do,What the Organization Does,,985,,0.44,&&&,,,,,,
15898,,,Proposal Narrative (in Word),What You Do,What the Organization Does,,985,,0.44,&&&,,,,,,
15900,"PLEASE FURTHER DESCRIBE THE SPECIFIC POPULATION YOUR ORGANIZATION INTENDS TO REACH. We acknowledge the above dropdowns may not accurately represent your population served, please use this space to provide more information on the population and community you serve.",,Narrative,What You Do,What the Organization Does,,987,,0.44,&&&,,,,,,
15901,,,Project Narrative,What You Do,What the Organization Does,,987,,0.44,&&&,,,,,,
15902,,,PROJECT NARRATIVE,What You Do,What the Organization Does,,987,,0.44,&&&,,,,,,
15903,,,Narrative Letter of Inquiry,What You Do,What the Organization Does,,988,,0.44,&&&,,,,,,
15904,,,REQUEST NARRATIVE,What You Do,What the Organization Does,,988,,0.44,&&&,,,,,,
15905,,,Applicant Contact/Project Person,Biographical and Organizational info,Organizational Biographical and General Information,,989,,0.44,&&&,,,,,,
15906,,,Update the Applicant Contact/Project person information,Biographical and Organizational info,Organizational Biographical and General Information,,989,,0.44,&&&,,,,,,
15907,,,Applicant Budget,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,990,,0.44,&&&,,,,,,
15908,,,Applicant Phone,Biographical and Organizational info,Organizational Biographical and General Information,,990,,0.44,&&&,,,,,,
15909,,,Applicant Organization,Biographical and Organizational info,Organizational Biographical and General Information,,991,,0.44,&&&,,,,,,
15910,,,<REDACTED> Applicant Organization,Biographical and Organizational info,Organizational Biographical and General Information,,991,,0.44,&&&,,,,,,
15911,,,Name of contact person for the application,Biographical and Organizational info,Organizational Biographical and General Information,,992,,0.44,&&&,,,,,,
15912,,,Applicant Name,Biographical and Organizational info,Organizational Biographical and General Information,,992,,0.44,&&&,,,,,,
15913,,,Name of Person Submitting Application,Biographical and Organizational info,Organizational Biographical and General Information,,992,,0.44,&&&,,,,,,
15914,,,FIRST TIME APPLYING,Requested grant funding,Requested Grant Funding Related,,993,,0.44,&&&,,,,,,
15915,,,First Time Applying,Requested grant funding,Requested Grant Funding Related,,993,,0.44,&&&,,,,,,
15917,,,COVER LETTER,What You Do,What the Organization Does,,995,,0.44,&&&,,,,,,
15918,,,Cover Letter,What You Do,What the Organization Does,,995,,0.44,&&&,,,,,,
15920,,,Request Goals,What You Do,What the Organization Does,,997,,0.44,&&&,,,,,,
15921,,,Brief Purpose of Request,What You Do,What the Organization Does,,997,,0.44,&&&,,,,,,
15922,,,Purpose of Request,What You Do,What the Organization Does,,997,,0.44,&&&,,,,,,
15923,,,Request Purpose,What You Do,What the Organization Does,,997,,0.44,&&&,,,,,,
15924,,,Purpose of request,What You Do,What the Organization Does,,997,,0.44,&&&,,,,,,
15925,Please provide details for each line item in your project budget Salary and Wages,,Request,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,998,,0.44,&&&,,,,,,
15926,,,Request Information,What You Do,What the Organization Does,,998,,0.44,&&&,,,,,,
15927,,,REQUEST INFORMATION,What You Do,What the Organization Does,,998,,0.44,&&&,,,,,,
15928,,,REQUEST DETAILS,What You Do,What the Organization Does,,998,,0.44,&&&,,,,,,
15929,,,REQUEST NAME,What You Do,What the Organization Does,,998,,0.44,&&&,,,,,,
15930,,,APPLICATION SUBMITTED,What You Do,What the Organization Does,,999,,0.44,&&&,,,,,,
15931,,,Application Status,What You Do,What the Organization Does,,999,,0.44,&&&,,,,,,
15933,,,Title of the Application,What You Do,What the Organization Does,,1001,,0.44,&&&,,,,,,
