left_context,question,right_context,identifier
,Amount Requested,,654
,"What is your target
population",,686
,Program Officer,,655
,How will you evaluate your grant,,1033
,"Dollar amount of grant support
requested",,679
Project Information,Proposed End Date,,5807
INTERNAL Alert/Special Handling,Any comments you enter here will be shown at the top of the request as an internal alert.,,706
,Proposed Start Date,,680
Application Type:,COVID-19 General Grant Program,,660
Charity Check,Checked At,,5827
-------- INTERNAL -------,Is this an invited application?,,657
Charity Check,Charity By,,5826
,Please provide a Cover Letter signed by the CEO/Executive Director of the organization,,683
PROJECT NARRATIVE,What is your timeline?,,688
,Primary Applicant Contact,,674
,Legal Name,,664
,SELECT YOUR APPLICATION,"Please select an Application Type from the list provided below. If you are not seeking funding from one of these programs, cancel out of this application and select the ""Apply for a grant"" link on the left-side navigation menu.",659
,"Identify the geographies (i.e. neighborhoods, cities, or counties) that will be served
by the proposed grant",,690
,Project Title,,678
,Website,,668
,Primary Signatory,,675
,"How will your project proactively address the diversity, inclusion and equity
challenges that face our region",,692
,Total Project Revenue/Expenses,,698
,Current Programming,,671
,Total Number of People Served Each Year,,672
,"Does this grant include a
Fiscal Sponsor",,677
,Requested amount Year 2,,2806
,Requested amount Year 3,,2807
,Requested amount Year 1,,2805
,Postcode,,2741
,"A copy of your safeguarding policy. If your organisation does not
    have one, please tell us briefly why",,2834
YOUR APPLICATION:,"Please select one programme area from the list below which best fits your proposal:

    a.  Environment
    b.  Arts
    c.  Social Action",,2756
YOUR APPLICATION:,Based on your selection above please select which sub-categories best fit your proposal.,_NB: Please only choose sub-categories that are related to the programme area you selected above. You may select up to three sub-categories._,2760
,"Please provide a short summary of what you expect the grant will
    help you achieve",,2808
ATTACHMENTS: Along with your application please attach the following documents:,A job description and person specification for any new post/s that you want us to fund.,,2833
Please complete a two A4 page proposal using the following headings:,How your proposal fits the criteria for the relevant category you are applying under.,,2772
ATTACHMENTS: Along with your application please attach the following documents:,"An income and expenditure budget for the organisation for the
    current financial year, showing which funding is secured.",,2830
ATTACHMENTS: Along with your application please attach the following documents:,"Income and expenditure budgets for the period of the grant required,
    showing which funding is secured.",,2831
Please complete a two A4 page proposal using the following headings:,How your proposal fits the criteria for the relevant category you are applying under.,,2774
WRITTEN PORTION: We would like to you complete a second stage application. The proposal should be a maximum of _four sides of A4 paper_. We ask you to use the following headings.,YOUR WORK,"Describe the work you want to do, why it is important and why you are well placed to do this. We would like to hear about your track record, what other organisations are doing and how you relate to and complement this. Explain your project in more detail or, if the request is for core costs, outline your main activities/areas of work.",2815
,Additional financial information,"If there is something unusual in your accounts such as significant surplus or deficit or unusually high or low reserves, please explain this briefly.",2782
,"Please include any other policies you think are relevant to
    your application",,2835
,Town/City,,2740
,"A copy of your latest approved annual report and accounts (if they
    were not sent with the initial application)",,2828
,FIT WITH OUR GUIDELINES,Please highlight how this work fits our general criteria and those for the specific category you are applying under.,2817
,Annual income from your latest financial accounts,,2776
,"A project budget, if you are applying for one, for the period of the
    grant required",,2832
,please upload your latest management accounts,,2780
,Please upload your most recent audited accounts,,2778
,Organisation Legal Name if Different,,2737
,Number of Part Time Staff,,2796
,Number of Full Time Staff,,2795
,A cash flow forecast for the organisation,,2829
,LEARNING AND RISK,Please explain how will you monitor your progress and judge success. We are also interested in hearing about any plans you have to share your experience with others and how you will do this. Please identify any risks which could affect progress and say how you might minimise them.,2819
,Charity Registration Number,,2744
,Organisation Type,,2746
WRITTEN PORTION: We would like to you complete a second stage application. The proposal should be a maximum of _four sides of A4 paper_. We ask you to use the following headings.,YOUR ORGANISATION,"Please give a brief description of your organisation, detailing the activities and services that you provide and how your work has national significance. Briefly explain the difference your work makes. This can be from, for example, reviews, awards and other feedback, case studies, statistics or your contribution to changes in policy and/or practice.",2812
,"Please say what the grant will be spent on e.g. CEO salary /
    core costs",,2769
,"Organisation Type:

    a.  UK Registered Charity

    b.  CIC

    c.  Company Limited by Guarantee

    d.  Not for Profit

    e.  Other",,2750
,Company Registration Number,,2745
DECLARATION:,"I declare that the information given in this application form is true
and accurate to the best of my knowledge and belief.",,9473
,"What you would like us to fund and why you are best placed to do
    this work",,2773
,Number and Street,,2739
,UK Registered Charity,,2747
,Please tell us how much you are applying for,,2764
,Please tell us the total amount you are applying for,,2802
,-   WHAT HAPPENS WHEN THE GRANT ENDS?,"Tell us if your work is time limited or indefinite. If you plan to continue it after our grant, how do you plan to do this? You can download the guidance from here",2821
,Any changes?,"Please include details of any material changes which may be likely within the next six months which may affect a grant, for example changes in key staff or loss of strategic funding, and how you plan to address them. Please provide an explanation if there have been any changes in the requested amount or the work from your first stage application.",2810
,In what region(s) will your proposed work have an impact,,2762
,"Please confirm the number of months that your requested funding
    would cover",,2766
,Number of Volunteers,,2797
,Number of Paid Staff,,2794
,A brief summary of your organisation's aims and activities,,2771
,Revised Project Budget,,8771
,Organizational Activities,,8754
,Stakeholders,,8746
,Budget Narrative,,8769
,What is your organization's total budget for the current fiscal year,,8739
,Audited Financial Statements,,8764
,Service Population,,8748
,Number Served,,8750
,Community Need,,8756
,Request Amount,,8737
,Organization's DUNS Number,,10728
,Attendance,,10719
,Requested amount,,10703
,Scholarship Usage,,10709
,Financial Changes,,10723
,Organizational Background,,10730
,Programmatic Offering,,10705
,Organization's operating expenses for the last completed fiscal year,,10734
,Qualifications and Memberships,"Please describe the qualifications of your camp/programming staff. Include any individual and/or organizational licensing, accreditations, and permits in your comments.",10715
,Title of Authorizing Official,,10748
,Current Operating Budget,,10738
,Organization's Balance Sheet for the last completed fiscal year,,10736
,Organization's operating revenue for the last completed fiscal year,,10732
,Faith-Based Activities,"If your organizations is a faith-based camp or sponsored by a church, please describe whether staff/campers are required to participate in denominational activities.",10721
,I have read the above information,,10745
,Marketing Activities,"Please describe any existing marketing activities and outreach to increase enrollment, or strategies for communication.",10711
,Founding Year of Summer Programming,Founding year(s) of the camp(s) or program(s),10717
,Camp Schedule,,10707
,List of Board of Directors,,10740
,"indicate if this proposal was reviewed as a draft by an <REDACTED>
  staff member",,10754
,"Does your organization currently collect demographic data for board and/or
staff",,14988
,Private Schools/Tuition Based Projects,,14974
,Organization Operating Budget,,14965
,"Mission Statement, Equal Employment Opportunity and Policy Statement on
Nondiscrimination",,14963
,Endowments,"If your organization has an endowment, briefly describe its purpose and whether it's restricted/unrestricted.",14968
,Impact of a Program Support Grant,"If you are awarded a program support grant, what measurable impact will it have on your organizational and programmatic capacity? What kind of impact will it have on your target audience?",14952
Evidence of Need,What evidence do you have that shows this approach will work to address the challenge or need your program has identified?,,14945
,Description of Funding Need,,14937
Success,How will your organization know that it has been successful? Provide 2-3 success/outcome statements.,,14959
Type of Program or Project Grants funded by the <REDACTED> Foundation fall into three categories.,"What type of program/project is this? (If you are unsure, please refer to the <REDACTED> Grant Program Grant Guidelines for descriptions.)

Capital Grant
Organizational Development/Capacity Building Grant
Program or Direct Service Grant",,14877
Action Steps,"Describe the process and time frame with detail for developing the project/program. Include the action steps, dates, times, locations, vendors, etc.",,14957
Board Governance,"Describe your organization's leadership (board and staff), governance, by-laws, and procedures.",,14933
,"Describe your organization's ability to effectively implement this project. What makes
you well-positioned to undertake it",,14941
,What categories of demographic data does your organization collect,,14992
Does your organization have an approach to creating an inclusive workplace? An inclusive workplace is one where people with all kinds of differences and disabilities feel welcome and valued for their contributions.,"If yes, briefly describe it here.",,14986
"History, Mission and Current Programs","Briefly describe the organization's history, mission, and goals, purpose, and current programs.",,14928
Tracking the Number of People Served,How do you track the people your organization serves?,,14904
Community Involvement,Briefly describe how the population you serve is involved in the work of your organization.,,14935
,Describe how the activity or service relates to the organization's mission,,14940
,Other Supporting Documents,,14976
,"For technology support, describe how technology will improve program delivery for
your organization",,14942
,"Diversity, Equity & inclusion Within Your Organization",,14978
,Support from collaborating organizations,,14948
Target Audience,"If applicable, identify target audiences and special populations to be served.",,14898
,Additional funding support either confirmed or requested,,14950
,External support from community members or businesses,,14947
,What community challenge(s) does this program address,,14939
,Estimates & Quotes,"For building renovations, repairs, or large equipment/technology purchases, please include at least two quotes.",14972
"ADDRESSING DIVERSITY, EQUITY AND INCLUSION PLEASE REFLECT ON AND SHARE YOUR ANSWERS TO THE FOLLOWING QUESTIONS. We want to hear what your current thinking/approach is around DEI. Your answers will also allow us to identify barriers that may be sector-wide, which may be addressed through capacity building support for individual organizations or a cohort.","WHAT IS YOUR ORGANIZATION DOING TO ADDRESS DIVERSITY, EQUITY AND INCLUSION IN ITS LEADERSHIP AT BOTH THE BOARD AND STAFF LEVELS?",,8216
,_GEOGRAPHIC FOCUS_,"Select the geographic area(s) that best represent your request by clicking on the related location(s). _ONCE HIGHLIGHTED, IT IS SELECTED._ To select additional areas, hold down the Ctrl key and click on your next selection. Use the scroll bar to ensure that all desired areas are highlighted.",8076
"LIVING WITH A DISABILITY <REDACTED> understands that disability can be a physical, cognitive, sensory, mental health or other impairment that limits a major life activity._ _Please enter the number of people who identify as having a disability that is not described by the categories above. Use the description box below to specify the disability._","DO NOT IDENTIFY AS LIVING WITH A DISABILITY

  UNKNOWN DISABILITY (I.E., YOU HAVE NOT COLLECTED THE INFORMATION)

  DISABILITY NOT DESCRIBED BY CATEGORIES ABOVE",,8134
,"WHAT IS YOUR ORGANIZATION DOING TO ADDRESS DIVERSITY, EQUITY AND INCLUSION IN ITS LEADERSHIP AT BOTH THE BOARD AND STAFF LEVELS",,8217
,"IF YOUR ORGANIZATION IS NOT CURRENTLY ADDRESSING DIVERSITY, EQUITY AND INCLUSION AT THE BOARD AND STAFF LEVELS, WHAT ARE THE BARRIERS, SUCH AS KNOWLEDGE, FINANCIAL INVESTMENT, CAPACITY, ETC., THAT ARE PREVENTING YOU FROM DOING SO",,8218
SEXUAL ORIENTATION DESCRIPTION _Please enter the number of people who identify as having a sexual orientation that is not described by the categories above. Use the description box below to specify the sexual orientation._,"HETEROSEXUAL OR STRAIGHT

  LESBIAN OR GAY

  BISEXUAL

  QUEER

  QUESTIONING

  UNKNOWN SEXUAL ORIENTATION (I.E., YOU DO NOT COLLECT THIS INFORMATION)

  SEXUAL ORIENTATION NOT DESCRIBED IN CATEGORIES ABOVE",,8145
,PRIORITY AREA,,8070
"_If the gender is not described by the categories above, please specify the appropriate gender in this box._",GENDER DESCRIPTION,,8128
,EXECUTIVE STAFF DEMOGRAPHICS,,8152
_Please enter the number of people who identify as a race/ethnicity not described in the categories above. Use the description box below to specify the race/ethnicity of those counted here._,"AFRICAN AMERICAN/AFRICAN/BLACK

  _Those who identify as being from or descending from the Caribbean or the African continent._

  MIDDLE EASTERN/NORTH AFRICAN

  _Those who identify as being or descending from the Arabian Peninsula, the Middle East or Northern Africa._

  ASIAN AMERICAN/ASIAN

  _Those who identify as being from or descending from East, Southeast Asia, or South Asia._

  LATINO/HISPANIC

  _Those who identify as being from or descending from Mexico, Central or South America, Cuba, Puerto Rico or other Spanish culture or origin._

  NATIVE AMERICAN/ALASKA NATIVE

  _Those who identify as indigenous peoples of the Americas and Alaska._

  NATIVE HAWAIIAN/PACIFIC ISLANDER

  _Those who identify as indigenous peoples from Hawaii OR being from or descending from any of the Pacific Islands including, for example, Guam, Samoa, Tonga and Fiji._

  EUROPEAN AMERICAN/WHITE (NOT HISPANIC OR LATINO)

  _Those who identify as being from or descending from Western and Eastern Europe._

  MULTIRACIAL/MULTIETHNIC

  _Those who identify as being from two or more racial or ethnic categories._

  UNKNOWN RACE/ETHNICITY (I.E., YOU HAVE NOT COLLECTED THE INFORMATION)

  RACE/ETHNICITY NOT DESCRIBED BY CATEGORIES ABOVE",,8116
,CURRENT FISCAL YEAR OPERATING BUDGET,,8052
,"MARK ""YES"" IF THE EIN ENTERED ABOVE IS FOR YOUR ORGANIZATION'S FISCAL SPONSOR. MARK ""NO"" IF THE EIN IS REGISTERED TO THE SUBMITTING ORGANIZATION",,8056
,EMPLOYER IDENTIFICATION NUMBER (EIN,,8054
,PRIMARY CONTACT FOR THIS REQUEST,,8027
,DATE ORGANIZATION ESTABLISHED,,8045
,PRIMARY CONTACT ADDRESS,,8034
,REQUEST INFORMATION,,8059
,BRIEF SUMMARY OF REQUEST,,8065
,GEOGRAPHIC AREA(S) OF FOCUS FOR GRANT REQUEST,,8078
,DURATION OF REQUESTED GRANT PERIOD,,8063
_FEEDBACK SECTION_ SUGGESTIONS,"WE WANT TO HEAR FROM YOU AND STRIVE TO IMPROVE. LET US KNOW WHAT YOU WOULD CHANGE AND PROVIDE ANY ADDITIONAL COMMENTS.  PLEASE TYPE ""N/A"" IF YOU HAVE NO SUGGESTIONS.",,8219
,ZIP CODE,,8024
,Disability Description,,8200
,CURRENT FISCAL YEAR,,8050
,POSTAL CODE,,8039
,WEBSITE,,8026
,REQUEST NARRATIVE,,8080
,REQUEST DETAILS,,8058
,EXECUTIVE STAFF & BOARD DEMOGRAPHICS,,8084
_This contact will receive all correspondence related to this request._,"PREFIX

  FIRST NAME

  MIDDLE NAME

  LAST NAME

  TITLE

  PRIMARY CONTACT ADDRESS",,8029
,IS THIS A REQUEST FOR CORE OPERATING SUPPORT OR PROJECT SUPPORT,,8075
,PLEASE INDICATE WHY METRICS WERE NOT PROVIDED,,8094
,BOARD DEMOGRAPHICS – RACE/ETHNICITY,,8092
,ADDRESS LINE 1 / LINE 2,,8021
,CITY,,8022
,EXECUTIVE STAFF – TOTAL NUMBER,,8153
,BOARD – TOTAL MEMBERS,,8088
,STATE,,8023
,End date,,9253
,Charity's Legal Name,,9229
,Please list your top 3 trust funders,,9257
,Start date,,9252
,Date charity was founded,,9232
,Where did you hear about the <REDACTED> Trust,,9243
,Organisation background and aims,,9241
,Job Title / Position in Organisation,,9245
GRANT REQUEST,Description,"Please outline what you would like us to fund, what activities are planned, when and where they will take place, why it is important, what you aim to achieve and, if applicable, what you have learnt from doing this work in the past. If applying for Core funding, please tell us about your strategy and how you hope a grant will support your organisation as a whole.",9255
Measuring Impact.,"Looking back on recent years, what are the biggest quantitative and/or qualitative successes you want to share?","This may be from survey results, impact studies, external evaluations, internal performance measures, etc. If your organization has one, please describe your process for learning from what has and has not worked.",12559
,"This grant request is for:

 General Operating Support",,12543
,Additional Documents,"Please upload the following financial documents: Organization's Operating Budget v. Actuals to Date (For previous fiscal year and current fiscal year; if requesting multi-year support, include multi-year budgets)",12571
,Executive Signatory Last Name,,12528
,Please describe the nature of the engagement,,12542
,"Please tell us the number of unique individuals engaged
annually by your organization",,12541
,Organization's Audited Financial Statements (covering most recent two years),,12573
,IRS Tax Determination Letter (if received 501(c)(3) status within the last two years),,12577
,Executive Signatory Email,,12529
,Board Signatory Email,,12533
,PLEASE ENTER A PROJECT TITLE,,12522
,Location,,12524
Risk and Agility.,"How do you assess your organizational risk? How are external factors (e.g., COVID-19, the economy, political environments, etc.) impacting your organization, planning and risk analysis?*",,12563
,Board Signatory First Name,,12531
,Board Signatory Last Name,,12532
,Executive Signatory First,,12527
,Repeat Primary Contact,,12526
,Fiscal Year End Month,,12539
,Current Fiscal Year Name,,12536
,Grant Term (in Months),,12549
,Fiscal Year Start Day,,12538
,Program/Project Budget (If requesting project-specific support),,12576
,"Please upload any additional documents (i.e., organizational chart, strategic plan, logic model, evaluation reports, additional narrative proposal, etc.) if you feel that the
information would be helpful in understanding your organization. This is entirely optional",,12578
Measuring Impact here Organizational Capacity.,Who are your key lay and professional leaders?,"Briefly describe how your senior leadership carries out its responsibilities for financial and programmatic oversight and fundraising in partnership with the board. Please share how your organization has grown or scaled down in recent years (e.g. key staff hires, infrastructure changes), and/or how you plan to grow or change in future years? Please also use this space to provide additional narrative to your organizational chart (if provided).",12561
,Fiscal Year End Day,,12540
,Fiscal Year Start Month,,12537
,Are there any major recent changes to your financial circumstances,,12568
Other Direct Costs,Contracts,,11096
,Cell Phone Number,,10876
,Address (line 2),,10841
,"How would you define and measure success? Please provide three to five
specific quantitative measures that you would report to us that would show your
Page 1 of 3
project has achieved your stated objectives",,11152
Requested Budget,Fringe Benefits,,11079
,How will these risks/challenges be addressed or minimized,,11157
,"If the grant will be used to support data collection, do you have policies, procedures,
and practices in place to ensure that the data is securely maintained, and regularly
monitor them to ensure compliance",,11013
,Project Activity,,11215
,"If selected for funding, do you plan to publish any of the findings resulting from this
grant in a peer-reviewed journal",,11129
RISKS AND CHALLENGES,What factors stand in the way of success?,,11156
Other Direct Costs,Project Space,,11090
,"If the grant will be used to support research activities, do you have policies, procedures,
and practices to ensure that research activities are conducted in accord with fundamental
ethics of scholarship, knowledge creation and transmission, and regularly monitor them to
ensure compliance",,11011
,Open Access,,11125
"Print this template in its entirety before you begin, so you have the instructions available at all times. Complete the identifying information shown below this block of instructions. Complete the Full Proposal Narrative Categories below (maximum of 10 pages). Your narrative should address the following questions, if applicable Problem Statement",Deliverables and Outcomes,,11140
,Fax Number,,10846
"Contracts: If contracts are a part of your proposed budget, you must complete one Contract Budget and Fact Chart for each contract. You may need to copy and paste the chart below into the completed budget narrative document if there are multiple contracts.",Scope of Work,,11223
"Contracts: If contracts are a part of your proposed budget, you must complete one Contract Budget and Fact Chart for each contract. You may need to copy and paste the chart below into the completed budget narrative document if there are multiple contracts.",Deliverables,,11224
,How does the proposed project align with the problem you seek to address,,11151
,School/Department/Unit,,10839
,Administrative Staff,,11077
,Main Phone Number,,10845
,Communications/Marketing,,11085
,Consultants/Contractors,,11093
,State / Territory,,10842
,How does the project relate to the Foundation team's objectives,,11153
,"Provide analysis of the project's risks and limitations. Please identify what type
of risk you are discussing, e.g., financial risks, reputational risk, or
implementation risks",,11155
"With regard to the work that would be supported under this grant: to your knowledge, do you receive financial or in-kind support from any individuals or organizations which, as a material part of their activities, manufacture, distribute, or sell alcohol, tobacco, cannabis, firearms products of any kind, or foods of minimal nutritional value?","Yes, briefly describe",,11022
,Phone Extn,,10874
,Will any polls or surveys be conducted as part of this proposed project,,11121
Objectives and Activities,"State the project's principal objectives.
 Explain who the project will help and how.
 Describe the project's rationale, main activities, components, and
approach.",,11171
,Proposed Start,,10986
,"This would be your organization's first direct grant or contract from <REDACTED>, OR
 Your last <REDACTED> grant or contract was awarded more than five years ago
If unsure, you can check the <REDACTED> grants database online",,11046
,Project Proposal Narrative,,10999
,Full Proposal Narrative,,11132
,"Do you share space, staff, or other resources, or have a special affiliation (for instance,
a significant overlap in board members) with a non-charitable entity (e.g., a Section 501(c)
(4) organization or a for-profit entity)? If so, please include a brief description below",,11024
,"Has your organization experienced a merger, division, or other substantive
reorganization in the past 12 months, or, to the best of your knowledge, is your
organization planning a substantive organizational change (including dissolution) in the
next 12 months",,11050
,Authorized Official,,10940
,"If applicable, describe how you would sustain the project after the grant period",,11154
STRATEGY,"o How does the proposed project align with the problem you seek to address?
o How would you define and measure success? Please provide three to five specific quantitative measures that you would report to us that would show your project has achieved your stated objectives.
o How does the project relate to the Foundation team's objectives?
o If applicable, describe how you would sustain the project after the grant period.",,11175
,"Project Proposal
Narrative",,11000
,Highest Ranking Official,,10961
"Use this template to provide additional supporting information that you deem vital to our review of your project. Providing additional information is optional, unless specifically requested.",Supporting Information,,11116
,Contractor Name,,11222
,Applicant Background and Mission,,10849
,Confirm Email,,10861
,Key Contacts,,10852
Staffing,"Identify the grantee institution and the principal project staff and describe the qualifications of each.
 
Identify the key partners and collaborators (if any) necessary to
achieve the project's objectives and how they will support the
project.",,11146
,Zip + 4-digit extension,,10844
,Financial Contact,,10919
,CV/Resume Instructions,,11110
,Principal Investigator,,11194
,Polls and Surveys,,11088
,Project Director/Principal Investigator,,10856
,Co-Project Director/Principal Investigator,,10877
,Research Method,,11142
,Additional Context,,11066
,Applicant Organization,,10836
,Was your organization formed in the last two years,,11043
,Meeting Expenses,,11087
,PROBLEM STATEMENT,,11169
,Operating Budget,,11062
,Legal Name of Applicant Organization,,11167
,Proj. Dir./Prin. Invest,,11075
Provide the following information specific to the proposed project.,Duration,,10988
,Other Direct Costs Total,,11092
,"Do you have written policies, procedures, and practices to ensure a tolerant and civil
workplace and do you regularly monitor them to ensure compliance",,11003
,Indirect Costs Total,,11101
,Middle Name,,10862
,"Would <REDACTED> funding, on an annual basis, be more than 10% of your operating budget? *
Please include potential funding under this proposal and any other active grants, subgrants, or
contracts",,11054
,Total Cost,,11225
,"Do you have whistleblower policy that: (i) encourages staff and volunteers to come
forward with information or allegations about illegal practices or violations of policies of
your organization; (ii) specifies that your organization will protect those individuals from
retaliation; and (iii) identifies those staff, board members, or outside parties to whom such
information can be reported",,11006
,Cost Calculation,,11226
,Other Staff,,11078
,Communications,,11144
,Application I.D.,,11163
,"What is your organization's annual operating budget for the next fiscal year? *
Provide an estimate if necessary",,11053
,Financial Documents,,11057
Which best describes your organization *,"501(c)(3) University, College or School
501(c)(3) Hospital or Health System
501(c)(3) Supporting Organization
501(c)(3) Fiscal Sponsor to Project
501(c)(3) Other Public Charity",,11029
RISKS AND CHALLENGES,"o Provide analysis of the project's risks and limitations. Please identify what type of risk you are discussing, e.g., financial risks, reputational risk, or implementation risks.
o What factors stand in the way of success?
o How will these risks/challenges be addressed or minimized?",,11176
,Uploaded Documents,,11064
,Office Operations,,11084
,Applicant Organization Tax ID (Employer ID Number),,10848
Project Director/Principal Investigator,Degree(s),,10865
,Financial Officer (or payee),"The Financial Officer is a senior-level financial staff person to whom the check will be addressed or who will be asked to provide bank information for ACH/electronic funds transfer should this request be funded. The Financial Officer is also responsible for ensuring the project budget and other financial materials, if applicable, as well as financial reporting on the project if approved, are correct and endorsed by the organization.",10898
,Personnel Total,,11080
,Budget Allocation by Project Elements,,11227
,Timeline,,11148
,Zip or Postal Code,,10872
,"Budget Allocation by
Project Elements",,11214
Name,Suffix,,10864
,Budget Worksheet,,11069
,Requested Budget,,11071
,How will you use <REDACTED> Funds,,10220
,<REDACTED> Foundation Grantee Proposal,,10219
ORGANIZATIONAL DATA,Management,,10231
,What results do you expect to achieve,,10222
,"Describe the diversity of your leadership/project team, particularly as it relates to your ability to serve the intended audience",,10227
,Why are you the right team to address this opportunity,,10225
,Organizational Chart,,8299
,Fiscal Sponsor Name & Address,,8236
,Current Programs & Activities,,8273
,Board Selection,,8309
Use of Results,How will the evaluation results be used?,,8297
,Organizing Strategies and Activities - Timeline,,8288
,"Please provide the correct 501(c)(3) tax ID EIN and the correct address
for your organization or

fiscal agent",,8325
,Future Fundraising Plans,,8320
,Is your tax ID correct in our system,,8322
,Total Annual Operating Budget,,8230
,Are you using a Fiscal Sponsor,,8232
Leadership Development,"Please tell us about your strategies for engaging and developing
leadership amongst your constituency.",,8278
,Goals and Objectives for the Year,,8286
,Previous Applications,,8241
,Key Individuals,,8305
,Organizing Strategies & Activities,,8255
,Link 2,,8335
,Link 1,,8333
-SOCIAL CHANGE- _Systemic Change_,Please describe your theory of change and tell us what systems your work is trying to affect.,,8290
,Problem Statement,,8251
,Actuals Year to Date,,8312
,Annual Report,,8331
Movement Building & Collaboration,Briefly describe how your organization is engaged in a larger movement for social justice.,,8292
_Membership_,"If you are a membership organization, please define the criteria for
membership. Are there dues?",,8303
_Request Description_,"Please provide a brief explanation and description of your grassroots
organizing plans for the coming year. Do not use this space to tell us
about operational needs.","All <REDACTED> Foundation grants are for General Operating Support. Remember, the <REDACTED> Foundation does not provide funding for direct service or social service programs.",8225
,"Has your organization ever applied to the <REDACTED>'s Foundation
before",,8238
,Second Letter/Testimonial,,8329
,_Constituent Involvement_,How are those people who are most affected by the issues you address actively involved in the work of the organization and in leadership and decision-making positions within the organization?,8247
_Proposal Objectives_,"What specific goals and objectives do you hope to achieve? 
How does this work address some of the root causes articulated above?",,8253
,Year Organization was Founded,,8243
,Organizational History,,8245
,Budget vs. Actuals Report,,8314
_Constituency_,"Please tell us about your constituency: your membership, your community members, the people with whom you work and the people you represent. (Be specific about demographics such as race, class, gender, ethnicity, age, sexual orientation and ability-status.)",,8275
,Description of Organization,,8223
,Briefly describe how your organization works,,8301
,Letter of Support/Testimonial,,8327
,"What percentage of people does your organization serve who live in a
  rural community",,11254
,Funding amount requested,,11251
,"To serve as your final report,
  would you like to complete a final report, or have a conversation with
  a <REDACTED> staff member",,11276
,"Please briefly tell us how funds from the <REDACTED> Foundation will
  be used",,11252
,Please share with us the mission,,11262
,Choose the Key Activities that support your mission.,"Choose the Key Activities that support your mission. Our key activities include service to American Indians or to the poor, Our key focus is on children and families, We work primarily in <REDACTED>",11265
,Project title,,11250
,"PEOPLE SERVED

    CATEGORIES                                     % OF POPULATION SERVED
  ------------------------------------------------ ------------------------
    Prenatal                                       
    Children ages 0-4                              
    Children ages 5-18                             
    Parents and caregivers of children ages 0-18   
    Other                                       
    Total",,11258
,Are you the project manager,,11245
,"STRATEGIC FOCUS AREAS OF WORK

  Family Resiliency (early childhood education & development, child welfare, family support)

  Food (food access, food security, access to foods that support healthy
  eating patterns)

  Housing (quality of housing, affordable housing, stable housing)

  Social Inclusion (civic participation, discrimination, incarceration,
  Indigenous traditional knowledge & culture)

  Mental Health (children’s mental health, maternal mental health
  (pre/post-natal), family mental health)",,11267
,Does the organization have a strong leader,,15008
Evaluation Results (optional),"Provide the organization’s most recent evaluation results or findings,
  relevant to this request.",,15119
,Proof of IRS Federal Tax-Exempt Status,,15111
,Key Staff,,15115
,Peer Review Summary (if available),,15011
,Does the organization have other credible and committed funders,,15005
,Current (Year-to-Date) Statement of Activities,,15081
,Current (Year-to-date) Statement of Financial Position,,15079
,Anti-Discrimination Statement adopted by the board of directors,,15113
,Expenses,,15096
,Program or Project Budget,,15098
,Program Area of Request,,15013
,Confirmation,"By entering your signature information above and clicking ""I Agree"" below, you certify that the information contained in this application is true and correct to the best of your knowledge.",15125
,Organization Budget. Income revenues and expenses,,15074
Proposed Activities Describe what you will do with the proposed funding and how you will do it.,"For General Operating Support, what programs and services will
  you offer?

For Program Specific requests, describe the specific
  program activities and services. Are you using a strategy that has been proven effective by research? 

Describe the populations served by the proposed work - how many people are expected to benefit from the activities?",,15054
,Total Liabilities,,15134
,Geographic Area of Request,,15019
Optional - COVID-19 update,Please provide us with an update on how COVID-19 has affected your organization and its programs and operations.,,15072
,Number of Board Members,,15042
,Funding Sources (list),,15130
Evaluation Intermediate Milestones,What is the timeline for the work proposed in this application and what are the EXPECTED MILESTONES that will ultimately lead to your desired results?,,15059
,Does the program/project fall into one of the Foundation's focus areas,,14999
,Organization Background and Goals,,15050
,Annual Report - most recent (optional,,15117
,Board/Governance,,15066
Board/Governance,"Describe the board's role in overseeing the organization, including
  the percentage of board members who contribute financially to the
  organization.",,15088
,Total Assets,,15132
,Type of Grant Requested,,15033
,Please upload your project budget,,616
,Describe your goals and objectives for this project,,629
,"If you have selected “Other” above, please describe in this field",,5742
,Please upload your organization budget,,619
,Describe your organization's capacity and relevant expertise,,627
,"Select the number of years of funding you are requesting and enter the
amount per year in the fields provided",,612
"CEO, PRESIDENT OR EXECUTIVE DIRECTOR OF ORGANIZATION",Prefix,,603
,"How was the focus determined and who was involved in that
    decision-making process",,625
,Are you using a Fiscal Sponsor for this project,,602
,"Describe your evaluation plan. What impact will you have? How will
    you measure? Who will be involved",,5755
"CEO, PRESIDENT OR EXECUTIVE DIRECTOR OF ORGANIZATION",Last Name,,607
,Years of Funding,,5734
"CEO, PRESIDENT OR EXECUTIVE DIRECTOR OF ORGANIZATION",Email,,608
,Describe your evaluation plan,,635
,Please complete and upload the Leadership Demographics worksheet,,620
"CEO, PRESIDENT OR EXECUTIVE DIRECTOR OF ORGANIZATION",First Name,,604
,Please upload your organization budget _(upload in grant portal)_,,5740
,Please upload your project budget _(upload in grant portal),,5737
,How will this project advance health equity,,633
,Who will be involved,,638
,"We invite you to provide any additional information here that would
    be helpful for us as we review your request",,642
,"Upload any additional attachments here that would be helpful for us
    as we review your request",,644
,Total Annual Organization Budget,,618
,Please give a 2-3 sentence summary of your request,,621
,"If applicable, describe your strategies for sustaining this effort",,640
